,user1,user2,weight,time_window
22,1062792614272008193,1012893330,26,ii
23,1219944530,4085520207,25,ii
24,1089107530247221249,80200885,24,ii
25,2245999991,1012893330,24,ii
26,2999929357,1012893330,24,ii
27,1390233025,1012893330,24,ii
28,2558902900,1012893330,24,ii
29,852523965390172160,1012893330,24,ii
30,1220054432492277760,1012893330,24,ii
31,896479197081853956,80200885,23,ii
32,411295303,1012893330,23,ii
33,1007797177408806912,1012893330,23,ii
34,1047987218,1012893330,23,ii
35,863414554679808002,4085520207,22,ii
36,1063806444380798976,80200885,22,ii
37,48142375,80200885,22,ii
38,1188524858742902784,1012893330,22,ii
39,1093535050757476355,1063806444380798976,21,ii
40,273897097,1063806444380798976,21,ii
41,1089107530247221249,873992653704220676,21,ii
42,27427189,1012893330,21,ii
43,4774998749,1012893330,21,ii
44,2970015723,1012893330,21,ii
45,2657120268,1012893330,21,ii
46,1090595328460509190,80200885,20,ii
47,2535751839,80200885,20,ii
48,1090595328460509190,882965185237065728,20,ii
49,896479197081853956,1063806444380798976,20,ii
50,525853329,80200885,20,ii
51,1054832415800246272,923171889891209217,20,ii
52,3327831430,1063806444380798976,20,ii
53,1021876093157036033,1012893330,20,ii
54,2406219076,1012893330,20,ii
55,1114447591138308096,1012893330,20,ii
56,1221783134708158464,80200885,20,ii
57,1219944530,80200885,19,ii
58,580096126,1063806444380798976,19,ii
59,995982195171975168,1063806444380798976,19,ii
60,80200885,1063806444380798976,19,ii
61,3676295055,80200885,19,ii
62,273897097,923171889891209217,19,ii
63,748814100650610688,1012893330,19,ii
64,837024514739421188,1012893330,19,ii
65,820561067810189313,1012893330,19,ii
66,824700720876290052,1012893330,19,ii
67,2730115977,1012893330,19,ii
68,882965185237065728,1063806444380798976,19,ii
69,65922786,80200885,18,ii
70,1090595328460509190,1063806444380798976,18,ii
71,896479197081853956,4085520207,18,ii
72,304449851,4085520207,18,ii
73,433717645,80200885,18,ii
74,1032967056,80200885,18,ii
75,464400923,1012893330,18,ii
76,1276570771,1012893330,18,ii
77,3892072667,1012893330,18,ii
78,1372573350,1012893330,18,ii
79,2954454747,882965185237065728,17,ii
80,2200948085,80200885,17,ii
81,982973540310880256,80200885,17,ii
82,1089107530247221249,1063806444380798976,17,ii
83,1029467541624770561,80200885,17,ii
84,715839580939948032,1012893330,17,ii
85,1493603834,469488146,17,ii
86,3017791293,1012893330,17,ii
87,3374222380,1012893330,17,ii
88,1001028907183824896,4085520207,16,ii
89,1172571984967942146,4085520207,16,ii
90,525853329,882965185237065728,16,ii
91,3301418445,80200885,16,ii
92,995982195171975168,80200885,16,ii
93,783396508674695168,80200885,16,ii
94,2918214275,1012893330,16,ii
95,550460960,1012893330,16,ii
96,1139423318082088962,1012893330,16,ii
97,493901532,1012893330,16,ii
98,901504367798431744,1012893330,16,ii
99,4924190242,1012893330,16,ii
0,2498940386,80200885,235,iii
1,1231518169149444096,1012893330,147,iii
2,1021332450893541376,1058396850858926083,142,iii
3,860027361504493568,469488146,139,iii
4,2498940386,1063806444380798976,139,iii
5,1444400034,469488146,137,iii
6,3327831430,80200885,137,iii
7,3091502780,80200885,136,iii
8,710579736519512064,80200885,135,iii
